Frequency [ppm],Intensity [abs],Width [Hz],Lineshape Parameter,Lineshape,Area [abs*Hz]
-74.75727004060333,5.709428312319058E8,5.042587446937986,0.079160256905442,PVOIGT,8.81394719362375E9
-71.98762210797604,1.5315375477373026E10,106.08433205228891,0.571989327512408,PVOIGT,4.163125510488667E12
