11291.130598 -7.269168e+06
11290.999975 -7.239684e+06
11290.869352 -7.211292e+06
11290.738729 -7.184008e+06
11290.608105 -7.157840e+06
11290.477482 -7.132800e+06
11290.346859 -7.108900e+06
11290.216236 -7.086136e+06
11290.085613 -7.064540e+06
11289.954990 -7.044108e+06
11289.824366 -7.024844e+06
11289.693743 -7.006780e+06
11289.563120 -6.989888e+06
11289.432497 -6.974228e+06
11289.301874 -6.959776e+06
11289.171251 -6.946548e+06
11289.040628 -6.934560e+06
11288.910004 -6.923816e+06
11288.779381 -6.914316e+06
11288.648758 -6.906080e+06
11288.518135 -6.899108e+06
11288.387512 -6.893412e+06
11288.256889 -6.889016e+06
11288.126265 -6.885904e+06
11287.995642 -6.884104e+06
11287.865019 -6.883600e+06
11287.734396 -6.884424e+06
11287.603773 -6.886572e+06
11287.473150 -6.890052e+06
11287.342527 -6.894864e+06
11287.211903 -6.901040e+06
11287.081280 -6.908556e+06
11286.950657 -6.917420e+06
11286.820034 -6.927660e+06
11286.689411 -6.939268e+06
11286.558788 -6.952252e+06
11286.428165 -6.966620e+06
11286.297541 -6.982360e+06
11286.166918 -6.999516e+06
11286.036295 -7.018048e+06
11285.905672 -7.037988e+06
11285.775049 -7.059332e+06
11285.644426 -7.082080e+06
11285.513802 -7.106244e+06
11285.383179 -7.131808e+06
11285.252556 -7.158780e+06
11285.121933 -7.187188e+06
11284.991310 -7.217008e+06
11284.860687 -7.248268e+06
11284.730064 -7.280932e+06
11284.599440 -7.315024e+06
11284.468817 -7.350540e+06
11284.338194 -7.387484e+06
11284.207571 -7.425848e+06
11284.076948 -7.465640e+06
11283.946325 -7.506852e+06
11283.815701 -7.549488e+06
11283.685078 -7.593544e+06
11283.554455 -7.639012e+06
11283.423832 -7.685908e+06
11283.293209 -7.734208e+06
11283.162586 -7.783932e+06
11283.031963 -7.835044e+06
11282.901339 -7.887564e+06
11282.770716 -7.941496e+06
11282.640093 -7.996804e+06
11282.509470 -8.053504e+06
11282.378847 -8.111592e+06
11282.248224 -8.171056e+06
11282.117600 -8.231896e+06
11281.986977 -8.294080e+06
11281.856354 -8.357636e+06
11281.725731 -8.422528e+06
11281.595108 -8.488780e+06
11281.464485 -8.556348e+06
11281.333862 -8.625248e+06
11281.203238 -8.695460e+06
11281.072615 -8.766976e+06
11280.941992 -8.839776e+06
11280.811369 -8.913868e+06
11280.680746 -8.989236e+06
11280.550123 -9.065860e+06
11280.419500 -9.143740e+06
11280.288876 -9.222860e+06
11280.158253 -9.303200e+06
11280.027630 -9.384760e+06
11279.897007 -9.467504e+06
11279.766384 -9.551440e+06
11279.635761 -9.636552e+06
11279.505137 -9.722828e+06
11279.374514 -9.810240e+06
11279.243891 -9.898780e+06
11279.113268 -9.988444e+06
11278.982645 -1.007920e+07
11278.852022 -1.017103e+07
11278.721399 -1.026393e+07
11278.590775 -1.035788e+07
11278.460152 -1.045288e+07
11278.329529 -1.054888e+07
11278.198906 -1.064588e+07
11278.068283 -1.074386e+07
11277.937660 -1.084281e+07
11277.807036 -1.094270e+07
11277.676413 -1.104353e+07
11277.545790 -1.114526e+07
11277.415167 -1.124788e+07
11277.284544 -1.135137e+07
11277.153921 -1.145571e+07
11277.023298 -1.156089e+07
11276.892674 -1.166688e+07
11276.762051 -1.177368e+07
11276.631428 -1.188124e+07
11276.500805 -1.198956e+07
11276.370182 -1.209862e+07
11276.239559 -1.220839e+07
11276.108935 -1.231886e+07
11275.978312 -1.243001e+07
11275.847689 -1.254181e+07
11275.717066 -1.265425e+07
11275.586443 -1.276730e+07
11275.455820 -1.288094e+07
11275.325197 -1.299516e+07
11275.194573 -1.310994e+07
11275.063950 -1.322526e+07
11274.933327 -1.334108e+07
11274.802704 -1.345740e+07
11274.672081 -1.357419e+07
11274.541458 -1.369144e+07
11274.410835 -1.380911e+07
11274.280211 -1.392720e+07
11274.149588 -1.404568e+07
11274.018965 -1.416454e+07
11273.888342 -1.428376e+07
11273.757719 -1.440330e+07
11273.627096 -1.452316e+07
11273.496472 -1.464330e+07
11273.365849 -1.476373e+07
11273.235226 -1.488442e+07
11273.104603 -1.500534e+07
11272.973980 -1.512648e+07
11272.843357 -1.524783e+07
11272.712734 -1.536935e+07
11272.582110 -1.549104e+07
11272.451487 -1.561286e+07
11272.320864 -1.573482e+07
11272.190241 -1.585688e+07
11272.059618 -1.597903e+07
11271.928995 -1.610126e+07
11271.798371 -1.622355e+07
11271.667748 -1.634587e+07
11271.537125 -1.646823e+07
11271.406502 -1.659058e+07
11271.275879 -1.671293e+07
11271.145256 -1.683525e+07
11271.014633 -1.695753e+07
11270.884009 -1.707975e+07
11270.753386 -1.720190e+07
11270.622763 -1.732397e+07
11270.492140 -1.744593e+07
11270.361517 -1.756777e+07
11270.230894 -1.768949e+07
11270.100270 -1.781106e+07
11269.969647 -1.793247e+07
11269.839024 -1.805371e+07
11269.708401 -1.817476e+07
11269.577778 -1.829562e+07
11269.447155 -1.841625e+07
11269.316532 -1.853668e+07
11269.185908 -1.865686e+07
11269.055285 -1.877678e+07
11268.924662 -1.889646e+07
11268.794039 -1.901586e+07
11268.663416 -1.913498e+07
11268.532793 -1.925380e+07
11268.402169 -1.937231e+07
11268.271546 -1.949051e+07
11268.140923 -1.960838e+07
11268.010300 -1.972592e+07
11267.879677 -1.984311e+07
11267.749054 -1.995993e+07
11267.618431 -2.007638e+07
11267.487807 -2.019247e+07
11267.357184 -2.030817e+07
11267.226561 -2.042348e+07
11267.095938 -2.053838e+07
11266.965315 -2.065287e+07
11266.834692 -2.076694e+07
11266.704069 -2.088057e+07
11266.573445 -2.099376e+07
11266.442822 -2.110651e+07
11266.312199 -2.121882e+07
11266.181576 -2.133065e+07
11266.050953 -2.144202e+07
11265.920330 -2.155292e+07
11265.789706 -2.166332e+07
11265.659083 -2.177324e+07
11265.528460 -2.188265e+07
11265.397837 -2.199157e+07
11265.267214 -2.209998e+07
11265.136591 -2.220785e+07
11265.005968 -2.231521e+07
11264.875344 -2.242203e+07
11264.744721 -2.252832e+07
11264.614098 -2.263407e+07
11264.483475 -2.273926e+07
11264.352852 -2.284390e+07
11264.222229 -2.294797e+07
11264.091605 -2.305147e+07
11263.960982 -2.315441e+07
11263.830359 -2.325675e+07
11263.699736 -2.335852e+07
11263.569113 -2.345969e+07
11263.438490 -2.356028e+07
11263.307867 -2.366025e+07
11263.177243 -2.375962e+07
11263.046620 -2.385838e+07
11262.915997 -2.395651e+07
11262.785374 -2.405403e+07
11262.654751 -2.415092e+07
11262.524128 -2.424716e+07
11262.393504 -2.434279e+07
11262.262881 -2.443775e+07
11262.132258 -2.453208e+07
11262.001635 -2.462574e+07
11261.871012 -2.471876e+07
11261.740389 -2.481110e+07
11261.609766 -2.490278e+07
11261.479142 -2.499379e+07
11261.348519 -2.508412e+07
11261.217896 -2.517376e+07
11261.087273 -2.526272e+07
11260.956650 -2.535099e+07
11260.826027 -2.543856e+07
11260.695404 -2.552544e+07
11260.564780 -2.561162e+07
11260.434157 -2.569708e+07
11260.303534 -2.578183e+07
11260.172911 -2.586586e+07
11260.042288 -2.594916e+07
11259.911665 -2.603175e+07
11259.781041 -2.611360e+07
11259.650418 -2.619472e+07
11259.519795 -2.627511e+07
11259.389172 -2.635475e+07
11259.258549 -2.643364e+07
11259.127926 -2.651179e+07
11258.997303 -2.658918e+07
11258.866679 -2.666582e+07
11258.736056 -2.674169e+07
11258.605433 -2.681680e+07
11258.474810 -2.689114e+07
11258.344187 -2.696471e+07
11258.213564 -2.703750e+07
11258.082940 -2.710952e+07
11257.952317 -2.718076e+07
11257.821694 -2.725120e+07
11257.691071 -2.732086e+07
11257.560448 -2.738973e+07
11257.429825 -2.745781e+07
11257.299202 -2.752509e+07
11257.168578 -2.759157e+07
11257.037955 -2.765724e+07
11256.907332 -2.772211e+07
11256.776709 -2.778618e+07
11256.646086 -2.784943e+07
11256.515463 -2.791186e+07
11256.384839 -2.797349e+07
11256.254216 -2.803429e+07
11256.123593 -2.809428e+07
11255.992970 -2.815344e+07
11255.862347 -2.821179e+07
11255.731724 -2.826930e+07
11255.601101 -2.832599e+07
11255.470477 -2.838185e+07
11255.339854 -2.843688e+07
11255.209231 -2.849108e+07
11255.078608 -2.854445e+07
11254.947985 -2.859698e+07
11254.817362 -2.864867e+07
11254.686739 -2.869954e+07
11254.556115 -2.874956e+07
11254.425492 -2.879874e+07
11254.294869 -2.884709e+07
11254.164246 -2.889460e+07
11254.033623 -2.894128e+07
11253.903000 -2.898711e+07
11253.772376 -2.903210e+07
11253.641753 -2.907626e+07
11253.511130 -2.911957e+07
11253.380507 -2.916206e+07
11253.249884 -2.920370e+07
11253.119261 -2.924451e+07
11252.988638 -2.928447e+07
11252.858014 -2.932360e+07
