dH,dS,dG298,pB298,rss,temps600,temps800,npts,accepted
1.5480109280423708,4.076244041277634,0.33329020374163587,0.36289666040936663,0.04420246730517832,"[285, 288, 291, 293, 296]","[285, 288, 293, 298]",9,True
1.0776259799961172,2.4492422922050743,0.34775177691900505,0.3572696543534828,0.04737167244393147,"[285, 288, 291, 293, 296]","[285, 288, 293, 298, 303]",10,True
1.720652576734294,4.675554115992578,0.3273374501685058,0.36522393809123205,0.0450605884518178,"[285, 288, 291, 293, 296, 298]","[285, 288, 293, 298]",10,True
1.2410326355665398,3.018699979047527,0.3414600418103768,0.35971304280900523,0.05024394427586448,"[285, 288, 291, 293, 296, 298]","[285, 288, 293, 298, 303]",11,True
2.3241798360704955,6.760913642596,0.3094275705768874,0.3722636553848585,0.05283137855870089,"[285, 288, 291, 293, 296, 303]","[285, 288, 293, 298]",10,False
1.7545537548609107,4.790649427521227,0.32694022545958523,0.36537946209796224,0.06607575068314984,"[285, 288, 291, 293, 296, 303]","[285, 288, 293, 298, 303]",11,False
1.626637690234268,4.347788447790747,0.3309967327926253,0.36379255801637556,0.04426658472409406,"[285, 288, 291, 293, 296, 308]","[285, 288, 293, 298]",10,True
1.3677598369331327,3.4499149880999296,0.33968517047935376,0.36040363583701596,0.04950884705196083,"[285, 288, 291, 293, 296, 308]","[285, 288, 293, 298, 303]",11,True
2.308857762537228,6.707517576680415,0.3100175246864647,0.3720308821718574,0.05285663203330982,"[285, 288, 291, 293, 296, 298, 303]","[285, 288, 293, 298]",11,False
1.7981978915380603,4.943435545860796,0.32505409887154313,0.36611831355589636,0.06657642610347127,"[285, 288, 291, 293, 296, 298, 303]","[285, 288, 293, 298, 303]",12,False
1.6856306929940013,4.5548052319041785,0.32829873388655595,0.36484768643539245,0.04507918094114302,"[285, 288, 291, 293, 296, 298, 308]","[285, 288, 293, 298]",11,True
1.428792077398929,3.665278536761411,0.33653907344402856,0.36162918462463584,0.05134137917213706,"[285, 288, 291, 293, 296, 298, 308]","[285, 288, 293, 298, 303]",12,False
2.0043789635130524,5.657919305188998,0.31831901056673084,0.36876177033167373,0.055427963126004134,"[285, 288, 291, 293, 296, 303, 308]","[285, 288, 293, 298]",11,False
1.7209721363240251,4.674971304101364,0.3278306877018189,0.3650308616543302,0.06612610421265325,"[285, 288, 291, 293, 296, 303, 308]","[285, 288, 293, 298, 303]",12,False
2.0170641068212043,5.702681179524156,0.3176651153230059,0.3690188409345745,0.055507126396033585,"[285, 288, 291, 293, 296, 298, 303, 308]","[285, 288, 293, 298]",12,False
1.7461204809910744,4.764303640397992,0.32635799615247274,0.3656074710641693,0.0667143260951221,"[285, 288, 291, 293, 296, 298, 303, 308]","[285, 288, 293, 298, 303]",13,False
