field,T,replicate,nuA,nuB,dnu,lwA,lwB,areaA,areaB,pB
600,285,0,0.581749222896684,-129.23678201136437,129.81853123426106,94.871129244805,89.19550263656079,437489655359.0563,208504248404.5449,0.32276504033518894
600,288,0,0.1196551666760889,-130.69536642077853,130.81502158745462,85.98949739527109,89.0934265000065,414658380120.19434,219865398063.43085,0.3465045844189055
600,288,1,1.2802099210318922,-130.0117794236122,131.2919893446441,86.76999235710822,90.15735770549081,422272424797.20123,224631010895.9634,0.3472404048299243
600,291,0,1.9953786656387733,-131.05079895141327,133.04617761705205,85.46637304476185,81.93803804215287,434464386094.7507,208694478573.09262,0.3244835608086845
600,293,0,0.3510682217248593,-133.163435698922,133.51450392064686,80.77442927434662,81.4307983657043,425424261993.3983,219135190840.01898,0.33997669241638323
600,293,1,1.1048636101307932,-132.27434113291227,133.37920474304306,80.81904610249427,79.53917003945605,429460372541.6216,212523080005.9094,0.3310413674411252
600,296,0,0.7533367928801451,-132.8121841057352,133.56552089861535,77.27290053861347,80.90424118573914,423986399226.4488,224776567899.46027,0.3464694800556281
600,298,0,-0.18023844242291145,-134.5348957697869,134.354657327364,71.41956270106053,83.11612735179196,390825226396.52185,230077095203.94705,0.3705528022683002
600,303,0,-0.2941073839534589,-134.83525793550686,134.54115055155341,66.86114494069182,89.85868145311483,373630615120.122,252363571076.1806,0.4031404390663831
600,308,0,-1.2204862184678247,-135.47365907861555,134.25317286014774,67.44708334601688,87.5894971249536,376637558488.7068,235881797978.75687,0.385100969443872
600,313,0,-1.7594886368008527,-132.29937658899385,130.539887952193,68.64346449669125,96.3195319065065,363333720255.5489,239095364994.7137,0.39688549382602956
600,315,0,-1.8505996227623034,-130.08038928560936,128.22978966284705,71.32139024660329,100.07798998998712,340757587887.27515,224669938561.14487,0.39734524417717737
800,285,0,3.369424007880611,-182.06156753555064,185.43099154343125,168.72671780242857,171.62625375698232,415574917511.6432,224332387946.8701,0.35057013106941953
800,288,0,1.7862622374856583,-185.45574964975893,187.2420118872446,157.5298832077262,162.03612664077627,418608361628.72437,223545042041.32422,0.34811781852080037
800,288,1,1.6813172892841666,-184.70720440511622,186.3885216944004,154.04432376736824,165.26745167584812,388779697384.80664,223311560021.7464,0.3648337683631089
800,293,0,1.1921496136460925,-186.75955907715928,187.95170869080536,134.7067318476453,148.1777939400694,395894384626.967,230396168185.19174,0.3678742512571377
800,298,0,0.694793371685757,-189.406812038665,190.10160541035077,121.94017809805555,135.0399757953294,392940370087.9334,224053455544.9829,0.3631372734000173
800,298,1,0.609797175294722,-188.89308964790112,189.50288682319584,117.67715787118455,147.2313878835164,363490621341.4299,239702999103.79822,0.3973898114619799
800,303,0,0.6412466446545977,-190.6567526137026,191.29799925835718,121.32400676581857,131.04339037479744,401713011454.1396,220257811148.37457,0.35412884840280645
800,308,0,-1.0699892610598605,-189.40275811941123,188.33276885835136,104.6631564839129,140.6358020833216,358088234649.6445,249104853491.7486,0.4102564050164899
800,313,0,0.04925094836539546,-184.3055957028321,184.3548466511975,105.89012460604151,139.04679314885092,358715971574.6844,234809985370.8737,0.3956187301045233
